,Age,AgeGeneration,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,DistanceFromHomeCategory,Education,EducationField,EmployeeCount,EmployeeEngagementScore,EmployeeNumber,EnvironmentSatisfaction,ExperiencePriorToCurrentJob,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,Overtime_Preference,PercentSalaryHike,PerformanceRating,PerformanceSatisfactionIndex,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
314,39,Millennials,No,Travel_Rarely,117,Research & Development,10,Short Distance,Below College,Medical,1,3.0,429,High,0,Male,99,High,4,Manager,Low,Married,17068,5355,1,Y,Yes,1,14,Excellent,2.6666666666666665,Very High,80,0,21,3,Better,21,9,11,10
315,43,Millennials,No,Travel_Frequently,185,Research & Development,10,Short Distance,Master,Life Sciences,1,3.0,430,High,1,Female,33,High,1,Laboratory Technician,Very High,Single,2455,10675,0,Y,No,0,19,Excellent,2.6666666666666665,Low,80,0,9,5,Better,8,7,1,7
316,49,Gen X,No,Travel_Rarely,1091,Research & Development,1,Short Distance,College,Technical Degree,1,2.6666666666666665,431,High,18,Female,90,Medium,4,Healthcare Representative,High,Single,13964,17810,7,Y,Yes,1,12,Excellent,3.3333333333333335,Very High,80,0,25,2,Better,7,1,0,7
317,52,Gen X,Yes,Travel_Rarely,723,Research & Development,8,Short Distance,Master,Medical,1,2.3333333333333335,433,High,3,Male,85,Medium,2,Research Scientist,Medium,Married,4941,17747,2,Y,No,0,15,Excellent,2.0,Low,80,0,11,3,Good,8,2,7,7
318,27,Gen Z,No,Travel_Rarely,1220,Research & Development,5,Short Distance,Bachelor,Life Sciences,1,2.6666666666666665,434,High,0,Female,85,High,1,Research Scientist,Medium,Single,2478,20938,1,Y,Yes,1,12,Excellent,2.3333333333333335,Medium,80,0,4,2,Good,4,3,1,2
319,32,Millennials,No,Travel_Rarely,588,Sales,8,Short Distance,College,Technical Degree,1,2.6666666666666665,436,High,0,Female,65,Medium,2,Sales Executive,Medium,Married,5228,24624,1,Y,Yes,1,11,Excellent,3.0,Very High,80,0,13,2,Better,13,12,11,9
320,27,Gen Z,No,Travel_Rarely,1377,Sales,2,Short Distance,Bachelor,Life Sciences,1,3.0,437,Very High,0,Male,74,High,2,Sales Executive,High,Single,4478,5242,1,Y,Yes,1,11,Excellent,2.6666666666666665,Low,80,0,5,3,Better,5,4,0,4
321,31,Millennials,No,Travel_Rarely,691,Sales,7,Short Distance,Bachelor,Marketing,1,3.0,438,Very High,6,Male,73,High,2,Sales Executive,Very High,Divorced,7547,7143,4,Y,No,0,12,Excellent,4.0,Very High,80,3,13,3,Better,7,7,1,7
322,32,Millennials,No,Travel_Rarely,1018,Research & Development,2,Short Distance,Master,Medical,1,3.0,439,Low,3,Female,74,Very High,2,Research Scientist,Very High,Single,5055,10557,7,Y,No,0,16,Excellent,2.6666666666666665,High,80,0,10,0,Good,7,7,0,7
323,28,Millennials,Yes,Travel_Rarely,1157,Research & Development,2,Short Distance,Master,Medical,1,2.0,440,Low,2,Male,84,Low,1,Research Scientist,Very High,Married,3464,24737,5,Y,Yes,1,13,Excellent,3.0,Very High,80,0,5,4,Good,3,2,2,2
324,30,Millennials,No,Travel_Rarely,1275,Research & Development,28,Long Distance,College,Medical,1,3.0,441,Very High,1,Female,64,High,2,Research Scientist,Very High,Married,5775,11934,1,Y,No,0,13,Excellent,4.0,Very High,80,2,11,2,Better,10,8,1,9
325,31,Millennials,No,Travel_Frequently,798,Research & Development,7,Short Distance,College,Life Sciences,1,3.0,442,High,0,Female,48,Medium,3,Manufacturing Director,High,Married,8943,14034,1,Y,No,0,24,Outstanding,2.3333333333333335,Low,80,1,10,2,Better,10,9,8,9
326,39,Millennials,No,Travel_Frequently,672,Research & Development,7,Short Distance,College,Medical,1,2.6666666666666665,444,High,0,Male,54,Medium,5,Manager,Very High,Married,19272,21141,1,Y,No,0,15,Excellent,2.6666666666666665,Low,80,1,21,2,Better,21,9,13,3
327,39,Millennials,Yes,Travel_Rarely,1162,Sales,3,Short Distance,College,Medical,1,2.6666666666666665,445,Very High,11,Female,41,High,2,Sales Executive,High,Married,5238,17778,4,Y,Yes,1,18,Excellent,2.6666666666666665,Low,80,0,12,3,Good,1,0,0,0
328,33,Millennials,No,Travel_Frequently,508,Sales,10,Short Distance,Bachelor,Marketing,1,2.3333333333333335,446,Medium,2,Male,46,Medium,2,Sales Executive,Very High,Single,4682,4317,3,Y,No,0,14,Excellent,3.0,High,80,0,9,6,Good,7,7,0,1
329,47,Gen X,No,Travel_Rarely,1482,Research & Development,5,Short Distance,Doctor,Life Sciences,1,3.0,447,Very High,18,Male,42,High,5,Research Director,High,Married,18300,16375,4,Y,No,0,11,Excellent,3.0,Medium,80,1,21,2,Better,3,2,1,1
330,43,Millennials,No,Travel_Frequently,559,Research & Development,10,Short Distance,Master,Life Sciences,1,3.0,448,High,0,Female,82,Medium,2,Laboratory Technician,High,Divorced,5257,6227,1,Y,No,0,11,Excellent,2.6666666666666665,Medium,80,1,9,3,Best,9,7,0,0
331,27,Gen Z,No,Non-Travel,210,Sales,1,Short Distance,Below College,Marketing,1,3.0,449,High,1,Male,73,High,2,Sales Executive,Medium,Married,6349,22107,0,Y,Yes,1,13,Excellent,3.0,Very High,80,1,6,0,Better,5,4,1,4
332,54,Gen X,No,Travel_Frequently,928,Research & Development,20,Medium Distance,Master,Life Sciences,1,2.6666666666666665,450,Very High,16,Female,31,High,2,Research Scientist,High,Single,4869,16885,3,Y,No,0,12,Excellent,3.6666666666666665,Very High,80,0,20,4,Good,4,3,0,3
333,43,Millennials,No,Travel_Rarely,1001,Research & Development,7,Short Distance,Bachelor,Life Sciences,1,2.6666666666666665,451,High,9,Female,43,High,3,Healthcare Representative,Low,Married,9985,9262,8,Y,No,0,16,Excellent,1.6666666666666667,Low,80,1,10,1,Good,1,0,0,0
334,45,Gen X,No,Travel_Rarely,549,Research & Development,8,Short Distance,Master,Other,1,3.0,452,Very High,2,Male,75,High,2,Research Scientist,Very High,Married,3697,9278,9,Y,No,0,14,Excellent,3.0,Low,80,2,12,3,Better,10,9,9,8
335,40,Millennials,No,Travel_Rarely,1124,Sales,1,Short Distance,College,Medical,1,2.3333333333333335,453,Medium,2,Male,57,Low,2,Sales Executive,Very High,Married,7457,13273,2,Y,Yes,1,22,Outstanding,3.0,High,80,3,6,2,Good,4,3,0,2
336,29,Millennials,Yes,Travel_Rarely,318,Research & Development,8,Short Distance,Master,Other,1,2.0,454,Medium,0,Male,77,Low,1,Laboratory Technician,Low,Married,2119,4759,1,Y,Yes,1,11,Excellent,2.3333333333333335,Very High,80,0,7,4,Good,7,7,0,7
337,29,Millennials,No,Travel_Rarely,738,Research & Development,9,Short Distance,Doctor,Other,1,2.6666666666666665,455,Medium,1,Male,30,Medium,1,Laboratory Technician,Very High,Single,3983,7621,0,Y,No,0,17,Excellent,3.0,High,80,0,4,2,Better,3,2,2,2
338,30,Millennials,No,Travel_Rarely,570,Sales,5,Short Distance,Bachelor,Marketing,1,2.6666666666666665,456,Very High,0,Female,30,Medium,2,Sales Executive,High,Divorced,6118,5431,1,Y,No,0,13,Excellent,3.3333333333333335,High,80,3,10,2,Better,10,9,1,2
339,27,Gen Z,No,Travel_Rarely,1130,Sales,8,Short Distance,Master,Marketing,1,3.0,458,Medium,0,Female,56,High,2,Sales Executive,Medium,Married,6214,3415,1,Y,No,0,18,Excellent,1.6666666666666667,Low,80,1,8,3,Better,8,7,0,7
340,37,Millennials,No,Travel_Rarely,1192,Research & Development,5,Short Distance,College,Medical,1,2.6666666666666665,460,Very High,2,Male,61,High,2,Manufacturing Director,Very High,Divorced,6347,23177,7,Y,No,0,16,Excellent,3.6666666666666665,High,80,2,8,2,Good,6,2,0,4
341,38,Millennials,No,Travel_Rarely,343,Research & Development,15,Medium Distance,College,Life Sciences,1,2.6666666666666665,461,High,1,Male,92,Medium,3,Research Director,Very High,Divorced,11510,15682,0,Y,Yes,1,14,Excellent,3.0,Medium,80,1,12,3,Better,11,10,2,9
342,31,Millennials,No,Travel_Rarely,1232,Research & Development,7,Short Distance,Master,Medical,1,2.6666666666666665,462,High,0,Female,39,High,3,Manufacturing Director,Very High,Single,7143,25713,1,Y,Yes,1,14,Excellent,3.3333333333333335,High,80,0,11,2,Good,11,9,4,10
343,29,Millennials,No,Travel_Rarely,144,Sales,10,Short Distance,Below College,Marketing,1,2.6666666666666665,463,Very High,0,Female,39,Medium,2,Sales Executive,Medium,Divorced,8268,11866,1,Y,Yes,1,14,Excellent,2.3333333333333335,Low,80,2,7,2,Better,7,7,1,7
344,35,Millennials,No,Travel_Rarely,1296,Research & Development,5,Short Distance,Master,Technical Degree,1,3.0,464,High,1,Male,62,High,3,Manufacturing Director,Medium,Single,8095,18264,0,Y,No,0,13,Excellent,3.0,Very High,80,0,17,5,Better,16,6,0,13
345,23,Gen Z,No,Travel_Rarely,1309,Research & Development,26,Long Distance,Below College,Life Sciences,1,2.6666666666666665,465,High,0,Male,83,High,1,Research Scientist,Very High,Divorced,2904,16092,1,Y,No,0,12,Excellent,3.3333333333333335,High,80,2,4,2,Good,4,2,0,2
346,41,Millennials,No,Travel_Rarely,483,Research & Development,6,Short Distance,Bachelor,Medical,1,2.6666666666666665,466,Very High,3,Male,95,Medium,2,Manufacturing Director,Medium,Single,6032,10110,6,Y,Yes,1,15,Excellent,3.3333333333333335,Very High,80,0,8,3,Better,5,4,1,2
347,47,Gen X,No,Travel_Frequently,1309,Sales,4,Short Distance,Below College,Medical,1,3.0,467,Medium,5,Male,99,High,2,Sales Representative,High,Single,2976,25751,3,Y,No,0,19,Excellent,2.0,Low,80,0,5,3,Better,0,0,0,0
348,42,Millennials,No,Travel_Rarely,810,Research & Development,23,Long Distance,Doctor,Life Sciences,1,3.0,468,Low,15,Female,44,High,4,Research Director,Very High,Single,15992,15901,2,Y,No,0,14,Excellent,2.3333333333333335,Medium,80,0,16,2,Better,1,0,0,0
349,29,Millennials,No,Non-Travel,746,Sales,2,Short Distance,Bachelor,Life Sciences,1,2.6666666666666665,469,Very High,0,Male,61,High,2,Sales Executive,High,Married,4649,16928,1,Y,No,0,14,Excellent,2.6666666666666665,Low,80,1,4,3,Good,4,3,0,2
350,42,Millennials,No,Travel_Rarely,544,Human Resources,2,Short Distance,Below College,Technical Degree,1,3.0,470,High,1,Male,52,High,1,Human Resources,High,Divorced,2696,24017,0,Y,Yes,1,11,Excellent,3.0,High,80,1,4,5,Better,3,2,1,0
351,32,Millennials,No,Travel_Rarely,1062,Research & Development,2,Short Distance,Bachelor,Medical,1,3.0,471,High,0,Female,75,High,1,Laboratory Technician,Medium,Married,2370,3956,1,Y,No,0,13,Excellent,2.6666666666666665,High,80,1,8,4,Better,8,0,0,7
352,48,Gen X,No,Travel_Rarely,530,Sales,29,Long Distance,Below College,Medical,1,2.6666666666666665,473,Low,15,Female,91,High,3,Manager,High,Married,12504,23978,3,Y,No,0,21,Outstanding,2.0,Medium,80,1,15,3,Bad,0,0,0,0
353,37,Millennials,No,Travel_Rarely,1319,Research & Development,6,Short Distance,Bachelor,Medical,1,3.3333333333333335,474,High,6,Male,51,Very High,2,Research Scientist,Low,Divorced,5974,17001,4,Y,Yes,1,13,Excellent,1.6666666666666667,Low,80,2,13,2,Better,7,7,6,7
354,30,Millennials,No,Non-Travel,641,Sales,25,Long Distance,College,Technical Degree,1,3.3333333333333335,475,Very High,2,Female,85,High,2,Sales Executive,High,Married,4736,6069,7,Y,Yes,1,12,Excellent,3.0,Medium,80,1,4,2,Best,2,2,2,2
355,26,Gen Z,No,Travel_Rarely,933,Sales,1,Short Distance,Bachelor,Life Sciences,1,3.0,476,High,0,Male,57,High,2,Sales Executive,High,Married,5296,20156,1,Y,No,0,17,Excellent,2.6666666666666665,Medium,80,1,8,3,Better,8,7,7,7
356,42,Millennials,No,Travel_Rarely,1332,Research & Development,2,Short Distance,Master,Other,1,3.0,477,Low,13,Male,98,Medium,2,Healthcare Representative,Very High,Single,6781,17078,3,Y,No,0,23,Outstanding,2.3333333333333335,Medium,80,0,14,6,Better,1,0,0,0
357,21,Gen Z,Yes,Travel_Frequently,756,Sales,1,Short Distance,Below College,Technical Degree,1,2.6666666666666665,478,Low,0,Female,99,Medium,1,Sales Representative,Medium,Single,2174,9150,1,Y,Yes,1,11,Excellent,2.0,High,80,0,3,3,Better,3,2,1,2
358,36,Millennials,No,Non-Travel,845,Sales,1,Short Distance,Doctor,Medical,1,3.0,479,Very High,6,Female,45,High,2,Sales Executive,Very High,Single,6653,15276,4,Y,No,0,15,Excellent,3.3333333333333335,Medium,80,0,7,6,Better,1,0,0,0
359,36,Millennials,No,Travel_Frequently,541,Sales,3,Short Distance,Master,Medical,1,2.6666666666666665,481,Low,3,Male,48,Medium,3,Sales Executive,Very High,Married,9699,7246,4,Y,No,0,11,Excellent,2.0,Low,80,1,16,2,Better,13,9,1,12
360,57,Gen X,No,Travel_Rarely,593,Research & Development,1,Short Distance,Master,Medical,1,3.0,482,Very High,12,Male,88,High,2,Healthcare Representative,High,Married,6755,2967,2,Y,No,0,11,Excellent,3.3333333333333335,High,80,0,15,2,Better,3,2,1,2
361,40,Millennials,No,Travel_Rarely,1171,Research & Development,10,Short Distance,Master,Life Sciences,1,3.3333333333333335,483,Very High,3,Female,46,Very High,1,Laboratory Technician,High,Married,2213,22495,3,Y,Yes,1,13,Excellent,3.3333333333333335,High,80,1,10,3,Better,7,7,1,7
362,21,Gen Z,No,Non-Travel,895,Sales,9,Short Distance,College,Medical,1,3.0,484,Low,0,Male,39,High,1,Sales Representative,Very High,Single,2610,2851,1,Y,No,0,24,Outstanding,2.6666666666666665,High,80,0,3,3,Good,3,2,2,2
363,33,Millennials,Yes,Travel_Rarely,350,Sales,5,Short Distance,Bachelor,Marketing,1,3.0,485,Very High,0,Female,34,High,1,Sales Representative,High,Single,2851,9150,1,Y,Yes,1,13,Excellent,3.0,Medium,80,0,1,2,Better,1,0,0,0
364,37,Millennials,No,Travel_Rarely,921,Research & Development,10,Short Distance,Bachelor,Medical,1,3.3333333333333335,486,High,12,Female,98,High,1,Laboratory Technician,Low,Married,3452,17663,6,Y,No,0,20,Outstanding,2.0,Medium,80,1,17,3,Better,5,4,0,3
365,46,Gen X,No,Non-Travel,1144,Research & Development,7,Short Distance,Master,Medical,1,3.3333333333333335,487,High,6,Female,30,High,2,Manufacturing Director,High,Married,5258,16044,2,Y,No,0,14,Excellent,3.0,High,80,0,7,2,Best,1,0,0,0
366,41,Millennials,Yes,Travel_Frequently,143,Sales,4,Short Distance,Bachelor,Marketing,1,3.0,488,Low,0,Male,56,High,2,Sales Executive,Medium,Single,9355,9558,1,Y,No,0,18,Excellent,2.0,High,80,0,8,5,Better,8,7,7,7
367,50,Gen X,No,Travel_Rarely,1046,Research & Development,10,Short Distance,Bachelor,Technical Degree,1,2.6666666666666665,491,Very High,16,Male,100,Medium,3,Healthcare Representative,Very High,Single,10496,2755,6,Y,No,0,15,Excellent,4.0,Very High,80,0,20,2,Better,4,3,1,3
368,40,Millennials,Yes,Travel_Rarely,575,Sales,22,Long Distance,College,Marketing,1,2.6666666666666665,492,High,2,Male,68,Medium,2,Sales Executive,High,Married,6380,6110,2,Y,Yes,1,12,Excellent,2.3333333333333335,Low,80,2,8,6,Better,6,4,1,0
369,31,Millennials,No,Travel_Rarely,408,Research & Development,9,Short Distance,Master,Life Sciences,1,2.6666666666666665,493,High,1,Male,42,Medium,1,Research Scientist,Medium,Single,2657,7551,0,Y,Yes,1,16,Excellent,3.0,Very High,80,0,3,5,Better,2,2,2,2
370,21,Gen Z,Yes,Travel_Rarely,156,Sales,12,Medium Distance,Bachelor,Life Sciences,1,3.3333333333333335,494,High,0,Female,90,Very High,1,Sales Representative,Medium,Single,2716,25422,1,Y,No,0,15,Excellent,3.0,Very High,80,0,1,0,Better,1,0,0,0
371,29,Millennials,No,Travel_Rarely,1283,Research & Development,23,Long Distance,Bachelor,Life Sciences,1,3.0,495,Very High,3,Male,54,High,1,Research Scientist,Very High,Single,2201,18168,9,Y,No,0,16,Excellent,4.0,Very High,80,0,6,4,Better,3,2,1,2
372,35,Millennials,No,Travel_Rarely,755,Research & Development,9,Short Distance,Master,Life Sciences,1,2.6666666666666665,496,High,9,Male,97,Medium,2,Healthcare Representative,Medium,Single,6540,19394,9,Y,No,0,19,Excellent,2.6666666666666665,High,80,0,10,5,Better,1,1,0,0
373,27,Gen Z,No,Travel_Rarely,1469,Research & Development,1,Short Distance,College,Medical,1,3.0,497,Very High,0,Male,82,High,1,Laboratory Technician,Medium,Divorced,3816,17881,1,Y,No,0,11,Excellent,2.6666666666666665,Medium,80,1,5,2,Better,5,2,0,4
374,28,Millennials,No,Travel_Rarely,304,Sales,9,Short Distance,Master,Life Sciences,1,3.0,498,Medium,0,Male,92,High,2,Sales Executive,Very High,Single,5253,20750,1,Y,No,0,16,Excellent,3.3333333333333335,Very High,80,0,7,1,Better,7,5,0,7
375,49,Gen X,No,Travel_Rarely,1261,Research & Development,7,Short Distance,Bachelor,Other,1,3.0,499,Medium,21,Male,31,Medium,3,Healthcare Representative,High,Single,10965,12066,8,Y,No,0,24,Outstanding,2.6666666666666665,High,80,0,26,2,Better,5,2,0,0
376,51,Gen X,No,Travel_Rarely,1178,Sales,14,Medium Distance,College,Life Sciences,1,2.6666666666666665,500,High,11,Female,87,High,2,Sales Executive,Very High,Married,4936,14862,4,Y,No,0,11,Excellent,3.3333333333333335,High,80,1,18,2,Good,7,7,0,7
377,36,Millennials,No,Travel_Rarely,329,Research & Development,2,Short Distance,Bachelor,Life Sciences,1,3.0,501,Very High,4,Female,96,High,1,Research Scientist,High,Married,2543,11868,4,Y,No,0,13,Excellent,3.0,Medium,80,1,6,3,Better,2,2,2,2
378,34,Millennials,Yes,Non-Travel,1362,Sales,19,Medium Distance,Bachelor,Marketing,1,3.0,502,Low,4,Male,67,Very High,2,Sales Executive,Very High,Single,5304,4652,8,Y,Yes,1,13,Excellent,2.3333333333333335,Medium,80,0,9,3,Good,5,2,0,4
379,55,Gen X,No,Travel_Rarely,1311,Research & Development,2,Short Distance,Bachelor,Life Sciences,1,3.0,505,High,25,Female,97,High,4,Manager,Very High,Single,16659,23258,2,Y,Yes,1,13,Excellent,3.3333333333333335,High,80,0,30,2,Better,5,4,1,2
380,24,Gen Z,No,Travel_Rarely,1371,Sales,10,Short Distance,Master,Marketing,1,3.3333333333333335,507,Very High,0,Female,77,High,2,Sales Executive,High,Divorced,4260,5915,1,Y,Yes,1,12,Excellent,3.6666666666666665,Very High,80,1,5,2,Best,5,2,0,3
381,30,Millennials,No,Travel_Rarely,202,Sales,2,Short Distance,Below College,Technical Degree,1,3.0,508,High,0,Male,72,High,1,Sales Representative,Medium,Married,2476,17434,1,Y,No,0,18,Excellent,2.0,Low,80,1,1,3,Better,1,0,0,0
382,26,Gen Z,Yes,Travel_Frequently,575,Research & Development,3,Short Distance,Below College,Technical Degree,1,3.3333333333333335,510,High,1,Male,73,High,1,Research Scientist,Low,Single,3102,6582,0,Y,No,0,22,Outstanding,2.3333333333333335,High,80,0,7,2,Better,6,4,0,4
383,22,Gen Z,No,Travel_Rarely,253,Research & Development,11,Medium Distance,Bachelor,Medical,1,3.0,511,Low,0,Female,43,High,1,Research Scientist,Medium,Married,2244,24440,1,Y,No,0,13,Excellent,2.3333333333333335,Very High,80,1,2,1,Better,2,1,1,2
384,36,Millennials,No,Travel_Rarely,164,Sales,2,Short Distance,College,Medical,1,2.6666666666666665,513,Medium,0,Male,61,Medium,3,Sales Executive,High,Married,7596,3809,1,Y,No,0,13,Excellent,2.3333333333333335,Medium,80,2,10,2,Better,10,9,9,0
385,30,Millennials,Yes,Travel_Frequently,464,Research & Development,4,Short Distance,Bachelor,Technical Degree,1,3.3333333333333335,514,High,2,Male,40,High,1,Research Scientist,Very High,Single,2285,3427,9,Y,Yes,1,23,Outstanding,3.3333333333333335,High,80,0,3,4,Better,1,0,0,0
386,37,Millennials,No,Travel_Rarely,1107,Research & Development,14,Medium Distance,Bachelor,Life Sciences,1,2.6666666666666665,515,Very High,0,Female,95,High,1,Laboratory Technician,Low,Divorced,3034,26914,1,Y,No,0,12,Excellent,2.6666666666666665,High,80,1,18,2,Good,18,7,12,17
387,40,Millennials,No,Travel_Rarely,759,Sales,2,Short Distance,College,Marketing,1,3.0,516,Very High,3,Female,46,High,2,Sales Executive,Medium,Divorced,5715,22553,7,Y,No,0,12,Excellent,3.0,High,80,2,8,5,Better,5,4,1,3
388,42,Millennials,No,Travel_Rarely,201,Research & Development,1,Short Distance,Master,Life Sciences,1,3.0,517,Medium,3,Female,95,High,1,Laboratory Technician,Low,Divorced,2576,20490,3,Y,No,0,16,Excellent,1.6666666666666667,Medium,80,1,8,5,Better,5,2,1,2
389,37,Millennials,No,Travel_Rarely,1305,Research & Development,10,Short Distance,Master,Life Sciences,1,2.6666666666666665,518,High,17,Male,49,High,2,Manufacturing Director,Medium,Single,4197,21123,2,Y,Yes,1,12,Excellent,3.0,Very High,80,0,18,2,Good,1,0,0,1
390,43,Millennials,No,Travel_Rarely,982,Research & Development,12,Medium Distance,Bachelor,Life Sciences,1,2.6666666666666665,520,Low,0,Male,59,Medium,4,Research Director,Medium,Divorced,14336,4345,1,Y,No,0,11,Excellent,2.0,High,80,1,25,3,Better,25,10,3,9
391,40,Millennials,No,Travel_Rarely,555,Research & Development,2,Short Distance,Bachelor,Medical,1,3.0,521,Medium,19,Female,78,Medium,2,Laboratory Technician,High,Married,3448,13436,6,Y,No,0,22,Outstanding,2.3333333333333335,Medium,80,1,20,3,Better,1,0,0,0
392,54,Gen X,No,Travel_Rarely,821,Research & Development,5,Short Distance,College,Medical,1,2.6666666666666665,522,Low,20,Male,86,High,5,Research Director,Low,Married,19406,8509,4,Y,No,0,11,Excellent,1.6666666666666667,High,80,1,24,4,Good,4,2,1,2
393,34,Millennials,No,Non-Travel,1381,Sales,4,Short Distance,Master,Marketing,1,3.0,523,High,3,Female,72,High,2,Sales Executive,High,Married,6538,12740,9,Y,No,0,15,Excellent,2.3333333333333335,Low,80,1,6,3,Better,3,2,1,2
394,31,Millennials,No,Travel_Rarely,480,Research & Development,7,Short Distance,College,Medical,1,2.3333333333333335,524,Medium,0,Female,31,High,2,Manufacturing Director,Low,Married,4306,4156,1,Y,No,0,12,Excellent,1.6666666666666667,Medium,80,1,13,5,Bad,13,10,3,12
395,43,Millennials,No,Travel_Frequently,313,Research & Development,21,Long Distance,Bachelor,Medical,1,3.3333333333333335,525,Very High,5,Male,61,High,1,Laboratory Technician,Very High,Married,2258,15238,7,Y,No,0,20,Outstanding,3.0,Low,80,1,8,1,Better,3,2,1,2
396,43,Millennials,No,Travel_Rarely,1473,Research & Development,8,Short Distance,Master,Other,1,3.0,526,High,3,Female,74,High,2,Healthcare Representative,High,Divorced,4522,2227,4,Y,Yes,1,14,Excellent,3.3333333333333335,Very High,80,0,8,3,Better,5,2,0,2
397,25,Gen Z,No,Travel_Rarely,891,Sales,4,Short Distance,College,Life Sciences,1,2.6666666666666665,527,Medium,0,Female,99,Medium,2,Sales Executive,Very High,Single,4487,12090,1,Y,Yes,1,11,Excellent,2.6666666666666665,Medium,80,0,5,3,Better,5,4,1,3
398,37,Millennials,No,Non-Travel,1063,Research & Development,25,Long Distance,Doctor,Medical,1,3.0,529,Medium,2,Female,72,High,2,Research Scientist,High,Married,4449,23866,3,Y,Yes,1,15,Excellent,2.0,Low,80,2,15,2,Better,13,11,10,7
399,31,Millennials,No,Travel_Rarely,329,Research & Development,1,Short Distance,College,Life Sciences,1,2.6666666666666665,530,Very High,0,Male,98,Medium,1,Laboratory Technician,Low,Married,2218,16193,1,Y,No,0,12,Excellent,2.6666666666666665,High,80,1,4,3,Better,4,2,3,2
400,39,Millennials,No,Travel_Frequently,1218,Research & Development,1,Short Distance,Below College,Life Sciences,1,3.0,531,Medium,0,Male,52,High,5,Manager,High,Divorced,19197,8213,1,Y,Yes,1,14,Excellent,2.6666666666666665,High,80,1,21,3,Better,21,8,1,6
401,56,Gen X,No,Travel_Frequently,906,Sales,6,Short Distance,Bachelor,Life Sciences,1,3.0,532,High,29,Female,86,Very High,4,Sales Executive,Low,Married,13212,18256,9,Y,No,0,11,Excellent,2.6666666666666665,Very High,80,3,36,0,Good,7,7,7,7
402,30,Millennials,No,Travel_Rarely,1082,Sales,12,Medium Distance,Bachelor,Technical Degree,1,3.0,533,Medium,1,Female,83,High,2,Sales Executive,High,Single,6577,19558,0,Y,No,0,11,Excellent,2.3333333333333335,Medium,80,0,6,6,Better,5,4,4,4
403,41,Millennials,No,Travel_Rarely,645,Sales,1,Short Distance,Bachelor,Marketing,1,3.3333333333333335,534,Medium,0,Male,49,Very High,3,Sales Executive,Low,Married,8392,19566,1,Y,No,0,16,Excellent,2.0,High,80,1,10,2,Better,10,7,0,7
404,28,Millennials,No,Travel_Rarely,1300,Research & Development,17,Medium Distance,College,Medical,1,3.0,536,High,0,Male,79,High,2,Laboratory Technician,Low,Divorced,4558,13535,1,Y,No,0,12,Excellent,2.6666666666666665,Very High,80,1,10,2,Better,10,0,1,8
405,25,Gen Z,Yes,Travel_Rarely,688,Research & Development,3,Short Distance,Bachelor,Medical,1,3.0,538,Low,4,Male,91,High,1,Laboratory Technician,Low,Married,4031,9396,5,Y,No,0,13,Excellent,1.6666666666666667,High,80,1,6,5,Better,2,2,0,2
406,52,Gen X,No,Travel_Rarely,319,Research & Development,3,Short Distance,Bachelor,Medical,1,2.6666666666666665,543,Very High,23,Male,39,Medium,3,Manufacturing Director,High,Married,7969,19609,2,Y,Yes,1,14,Excellent,3.3333333333333335,High,80,0,28,4,Better,5,4,0,4
407,45,Gen X,No,Travel_Rarely,192,Research & Development,10,Short Distance,College,Life Sciences,1,3.0,544,Low,6,Male,69,High,1,Research Scientist,Very High,Married,2654,9655,3,Y,No,0,21,Outstanding,3.0,Very High,80,2,8,3,Good,2,2,0,2
408,52,Gen X,No,Travel_Rarely,1490,Research & Development,4,Short Distance,College,Life Sciences,1,2.3333333333333335,546,Very High,26,Female,30,High,4,Manager,Very High,Married,16555,10310,2,Y,No,0,13,Excellent,4.0,Very High,80,0,31,2,Bad,5,2,1,4
409,42,Millennials,No,Travel_Frequently,532,Research & Development,29,Long Distance,College,Life Sciences,1,3.0,547,Low,14,Female,92,High,2,Research Scientist,High,Divorced,4556,12932,2,Y,No,0,11,Excellent,2.0,Medium,80,1,19,3,Better,5,4,0,2
410,30,Millennials,No,Travel_Rarely,317,Research & Development,2,Short Distance,Bachelor,Life Sciences,1,2.6666666666666665,548,High,6,Female,43,Low,2,Manufacturing Director,Very High,Single,6091,24793,2,Y,No,0,20,Outstanding,3.3333333333333335,High,80,0,11,2,Better,5,4,0,2
411,60,Boomers II (a/k/a Generation Jones)*,No,Travel_Rarely,422,Research & Development,7,Short Distance,Bachelor,Life Sciences,1,2.3333333333333335,549,Low,4,Female,41,High,5,Manager,Low,Married,19566,3854,5,Y,No,0,11,Excellent,2.0,Very High,80,0,33,5,Bad,29,8,11,10
412,46,Gen X,No,Travel_Rarely,1485,Research & Development,18,Medium Distance,Bachelor,Medical,1,2.6666666666666665,550,High,9,Female,87,High,2,Manufacturing Director,High,Divorced,4810,26314,2,Y,No,0,14,Excellent,3.0,High,80,1,19,5,Good,10,7,0,8
